A,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Set,128,21.1,149.1,1485.8295,59.43318
A,19,GI Earth Wire (7/14 SWG),MT,15.36,2.532,17.892,71815.31,2872.6124
A,20,Cement,Bag,2304,379.8,2683.8,355.25,14.21
A,21,Stone Chips,LS,64,10.55,74.55,4350,174
A,22,Hot deep galvanised Nuts & Bolts alongwith plane and electroplated spring washer for erection of structures of Different sizes,LS,1152,189.9,1341.9,126.295,5.0518
A,23,PG Clamp suitable for ACSR Wolf conductors,LS,64,10.55,74.55,181.25,7.25
A,24,Sundaries (Tree clearance etc.),LS,64,10.55,74.55,5075,203
A,25,Route Survey,KM,64,10.55,74.55,0,0
A,26,Aluminium binding wire for pin binding,Kg,160,26.375,186.375,217.5,8.7
A,27,Mid span compression joints (For ACSR Wolf),No.,192,31.65,223.65,493,19.72
A,28,"36 kV, 630 A 25 KA, 3-Ph, 3 pin type, horizontal mounting type, gang operated, AB switch along with support insulators, operating mechanism, base channel down pipe, arcing horns connectors and required accessories etc. complete as per TS",Set,6.4,1.055,7.455,53650,2146
B,B,Construction of New 33 KV Bay Extension for New feeders,,5,4,9,,
B,1,"A-Structure of 33kv swing bus fabricated from structural steel conforming to IS 2062 including Nuts, Bolts, Foundation Bolts, Washers & other accessories complete as per REC/ aprroved drawing",Set,5,4,9,187957.7,7518.308
B,2,"Gantry column for 33kv outgoing feeder fabricated from structural steel conforming to IS 2062 including Nuts, Bolts, Foundation Bolts, Washers & other accessories complete as per REC/ aprroved drawing",Set,5,4,9,183871.6,7354.864
B,3,"Outdoor type One set (3 Nos of 1- Ph.) 36kv, 1 Ph, 600/300/150/1A CT having 3 Secondary cores alongwith Terminal connectors, Junction box etc complete as per TS",Set,5,4,9,147098.15,5883.926
B,4,"3-Ph, Outdoor type, Vaccum Circuit breaker with spring type operating mechanism alongwith support structure, marshalling box, terminal connectors and required accessories complete as per TS with Indoor type Control & Relay Panel consisting of Volt meter, Ammeter, Trivector Energy meter, O/C, E/F & Diffirential Relays, Indication lamp,Breaker Control Switch,Annunciation Windows with Annunciation Relays, Push Button for alarm Accept/Reset/Lamp Test, Minimic Diagram etc and other component complete as per TS.",Set,5,4,9,389412,15576.48
B,5,"36 kV, 630 A 25 KA, 3-Ph, 3 pin type, horizontal mounting type, gang operated, AB switch along with support insulators, operating mechanism, base channel down pipe, arcing horns connectors and required accessories etc. complete as per TS",Set,10,8,18,53650,2146
B,6,"Structure for 33kv CT (1 Set= 3 nos.) fabricated from structural steel conforming to IS 2062 including Nuts, Bolts, Foundation Bolts, Washers & other accessories complete as per REC/ aprroved drawing",Set,5,4,9,147098.15,5883.926
B,7,"Structure for 33kv Isolator (1 Set= 3 nos.) fabricated from structural steel conforming to IS 2062 including Nuts, Bolts, Foundation Bolts, Washers & other accessories complete as per REC/ aprroved drawing",Set,10,8,18,98064.95,3922.598
B,8,ACSR wolf conductor,Km.,0.15,0.12,0.27,135670,5426.8
B,9,Control cable etc & power cable,L/S,5,4,9,50750,2030
B,10,Clamps &Connector etc as per requirement,L/S,5,4,9,7250,290
B,11,"30kv, 10 kA, 1-Ph Lightning Arrestor (1 Set= 3 nos.) with Surge counter and Surge monitor",Set,5,4,9,15477.3,619.092
B,12,33kv post insulator assembly comprising of 2 Nos. of Insulators fittings and accessories(6 nos.),Nos.,30,24,54,43336.15,1733.446
B,13,"33kv Post insulator structure fabricated from structural steel conforming to IS 2062 including Nuts, Bolts, Foundation Bolts, Washers & other accessories complete as per REC/ aprroved drawing",Nos.,30,24,54,65250,2610
B,14,33 KV Disc insulator (set of 3) assembly comprising of 3 Nos of anti fog Disc Insulator per phase with hardware fittings and accessories complete for 33kv (9 set),Nos.,45,36,81,2057.55,82.302
B,15,50mm dia IPS Al pipe for 33 KV Bus Bar & Dropper alongwith suitable connectors complete as per requirement.,L/S,5,4,9,6525,261
B,16,33 kv pin Insulator with Pin 3 nos.complete,Nos.,15,12,27,412.3075,16.4923
B,17,Earthing complete as per TS,LS,5,4,9,65250,2610
E,E,33 KV Fault Passage Indicator,,44,31,75,,
E,1,Pole Mounted Fault Passage Indicator of 33 KV with AB Switch & auxiliary power supply with all accessories complete in all respect.,No.,44,31,75,101500,4060
F,F,33 KV Metering System,,5,4,9,,
F,1,"33 kV Metering system along with Meter, Metering unit and all associated accessories complete in all respest",No,5,4,9,19575,783
J,J,Upgradation/ Augmentation of Power Transformers and Installation of additional Power Transformers (1X5 MVA to 2X5 MVA),,1,0,1,,
J,1,Galvonised Structure as per requirement,MT,4,0,4,87000,3480
J,2,33KV Pin Insulator with pins,Nos.,0,0,0,416.15,16.646
J,3 (a),33KV Isolator (630 Amp),Nos.,2,0,2,50025,2001
J,(b),Structure for above,Nos.,2,0,2,77430,3097.2
J,4.i),33KV Post Insulator (1 Set=2 nos.),Sets,6,0,6,471.25,18.85
J,ii),Structure for above,Nos.,6,0,6,21750,870
J,5.i),33KV Lightning Arrestor (1 set=3 nos.),Sets,1,0,1,15477.3,619.092
J,6,33/11KV Transformer,,0,0,0,,0
J,i,5 MVA,Nos.,1,0,1,4494650.55,179786.022
J,ii,10 MVA,Nos.,0,0,0,8172091.25,326883.65
J,7,Plinth for transformer,Nos.,1,0,1,326250,13050
J,8,Strengthning of TF plinth,Nos.,0,0,0,181250,7250
J,9(i),33 KV VCB with Panel,Nos.,1,0,1,510136.1,20405.444
J,(ii),33 KV CT 600/300/150-1-1 Amp,Sets,1,0,1,46400,1856
J,(iii),Structure for CT,Nos.,1,0,1,21750,870
J,10(i),11 KV isolator (630 Amps),Nos.,6,0,6,27405,1096.2
J,(ii),Structure for above,Nos.,6,0,6,56550,2262
J,(iii),11 KV VCB with Panel,Nos.,3,0,3,372215,14888.6
J,(iv),11 KV CT (800/400/200/5-5 Amp),sets,3,0,3,41905,1676.2
J,(v),11 KV LA,sets,3,0,3,652.5,26.1
J,11 (a),11 KV Post Insulator (1 set= 1 no.),Set,18,0,18,398.75,15.95
J,(b),Structure for above,Nos.,18,0,18,21750,870
J,12,3 Core Power Cable(Aluminium Conductor),,0,0,0,,0
J,a,4CX10 Sq mm,M,10,0,10,96.57,3.8628
J,b,3.5CX95 Sq mm,M,10,0,10,315.665,12.6266
J,c,2.5CX10 Sq mm,M,5,0,5,63.8,2.552
J,13,30 Volt battery and battery charger with cabinet,Nos.,1,0,1,113100,4524
J,14,Control Cable,,0,0,0,,0
J,i),2x2.5 mm sq.,M,40,0,40,77.865,3.1146
J,ii),5x2.5 mm sq.,M,30,0,30,144.275,5.771
J,iii),10x2.5 mm sq.,M,15,0,15,235.1175,9.4047
J,15,Earthing of substation ( complete),,0,0,0,,0
J,(a),Outdoor equipment (earth mat)/Indoor equipment,Nos.,0.5,0,0.5,50750,2030
J,16,Barbed wire fencing with gate etc (switchyard),KG,0,0,0,87,3.48
J,17,Lightening of SS including Control room,LS.,0,0,0,217500,8700
J,a,Flood light fittings with control gears and 150W High Pressure Sodium Vapour lamp including mounting arrangement as per TS,Set,0,0,0,5510,220.4
J,b,2x 40 W flouroscent tube fitting with vitreous enamelled reflector complete in all respects as per applicable TS,Set,0,0,0,2320,92.8
J,c,Ceiling Fans 1400 mm sweep with regulator,No.,0,0,0,2320,92.8
J,d,Swaged type 9mtr Steel Tubular Pole (410 SP-31) for lighting in Sub-station as per IS-2713 (1980),No.,0,0,0,10875,435
J,e,"18"" exhaust fan with lowvers shutter",No.,0,0,0,3625,145
J,18,63KVA 11/0.4KV T/F,Nos.,0,0,0,210965.95,8438.638
J,19,11 KV fuse set with fixing clamps,Nos.,0,0,0,6525,261
J,20,Cost of accessories for mounting of 63 KVA T/F,Job,0,0,0,21025,841
J,21,Painting of Structures,Job,1,0,1,65250,2610
J,22,Repair of existing Control Room in all respect including painting inner and outer wall,1 Job,0.25,0,0.25,181250,7250
J,23,"415V, AC Distribution board",Set,0,0,0,108750,4350
J,24,"30V, DC Distribution board",Set,0,0,0,65250,2610
J,25,SafetyEquipment,,0,0,0,,0
J,a,(1) Dry Chemical Type (5 KG) for control room,Nos.,1,0,1,9425,377
J,b,(2) CO2 type 4.5 KG capacity for control room,Nos.,1,0,1,8120,324.8
J,c,(3) CO2 type 22.5 KG capacity for control room,Nos.,1,0,1,22620,904.8
J,26,Aluminium Pipe 50 mm dia as per eqiurement,M,0,0,0,6525,261
J,27,Aluminium Connectors,LS/PSS,0.5,0,0.5,6525,261
J,28,11 KV Disc insulator with hardware fiiting,set,12,0,12,398.75,15.95
J,,Civil Works,,,0,,,
J,29,Repairng/ Construction of boundary wall,M,0,0,0,3625,145
J,30,Repairing/ Construction of road,M,0,0,0,5075,203
M,M,Upgradation/ Augmentation of Power Transformers and Installation of additional Power Transformers (3.15 + 5 to 2X5 MVA) (Released 5 MVA transformer is used after augmentation of 5 MVA to 10 MVA),,1,0,1,,
M,1,Galvonised Structure as per requirement,MT,0,0,0,87000,3480
M,2,33KV Pin Insulator with pins,Nos.,0,0,0,416.15,16.646
M,3 (a),33KV Isolator (630 Amp),Nos.,0,0,0,50025,2001
M,(b),Structure for above,Nos.,0,0,0,77430,3097.2
M,4.i),33KV Post Insulator (1 Set=2 nos.),Sets,0,0,0,471.25,18.85
M,ii),Structure for above,Nos.,0,0,0,21750,870
M,5.i),33KV Lightning Arrestor (1 set=3 nos.),Sets,0,0,0,15477.3,619.092
M,6,33/11KV Transformer,,0,0,0,0,0
M,i,5 MVA,Nos.,0,0,0,4494650.55,179786.022
M,ii,10 MVA,Nos.,0,0,0,8172091.25,326883.65
M,7,Plinth for transformer,Nos.,0,0,0,326250,13050
M,8,Strengthning of TF plinth,Nos.,1,0,1,181250,7250
M,9(i),33 KV VCB with Panel,Nos.,1,0,1,510136.1,20405.444
M,(ii),33 KV CT 600/300/150-1-1 Amp,Sets,0,0,0,46400,1856
M,(iii),Structure for CT,Nos.,0,0,0,21750,870
M,10(i),11 KV isolator (630 Amps),Nos.,2,0,2,27405,1096.2
M,(ii),Structure for above,Nos.,2,0,2,56550,2262
M,(iii),11 KV VCB with Panel,Nos.,1,0,1,372215,14888.6
M,(iv),11 KV CT (800/400/200/5-5 Amp),sets,1,0,1,41905,1676.2
M,(v),11 KV LA,sets,1,0,1,652.5,26.1
M,11 (a),11 KV Post Insulator (1 set= 1 no.),Set,0,0,0,398.75,15.95
M,(b),Structure for above,Nos.,0,0,0,21750,870
M,12,3 Core Power Cable(Aluminium Conductor),,0,0,0,0,0
M,a,4CX10 Sq mm,M,10,0,10,96.57,3.8628
M,b,3.5CX95 Sq mm,M,10,0,10,315.665,12.6266
M,c,2.5CX10 Sq mm,M,5,0,5,63.8,2.552
M,13,30 Volt battery and battery charger with cabinet,Nos.,1,0,1,113100,4524
M,14,Control Cable,,0,0,0,0,0
M,i),2x2.5 mm sq.,M,40,0,40,77.865,3.1146
M,ii),5x2.5 mm sq.,M,30,0,30,144.275,5.771
M,iii),10x2.5 mm sq.,M,15,0,15,235.1175,9.4047
M,15,Earthing of substation ( complete),,0,0,0,0,0
M,(a),Outdoor equipment (earth mat)/Indoor equipment,Nos.,0,0,0,50750,2030
M,16,Barbed wire fencing with gate etc (switchyard),KG,0,0,0,87,3.48
M,17,Lightening of SS including Control room,LS.,0,0,0,217500,8700
M,a,Flood light fittings with control gears and 150W High Pressure Sodium Vapour lamp including mounting arrangement as per TS,Set,0,0,0,5510,220.4
M,b,2x 40 W flouroscent tube fitting with vitreous enamelled reflector complete in all respects as per applicable TS,Set,0,0,0,2320,92.8
M,c,Ceiling Fans 1400 mm sweep with regulator,No.,0,0,0,2320,92.8
M,d,Swaged type 9mtr Steel Tubular Pole (410 SP-31) for lighting in Sub-station as per IS-2713 (1980),No.,0,0,0,10875,435
M,e,"18"" exhaust fan with lowvers shutter",No.,0,0,0,3625,145
M,18,63KVA 11/0.4KV T/F,Nos.,0,0,0,210965.95,8438.638
M,19,11 KV fuse set with fixing clamps,Nos.,0,0,0,6525,261
M,20,Cost of accessories for mounting of 63 KVA T/F,Job,0,0,0,21025,841
M,21,Painting of Structures,Job,1,0,1,65250,2610
M,22,Repair of existing Control Room in all respect including painting inner and outer wall,1 Job,0,0,0,181250,7250
M,23,"415V, AC Distribution board",Set,0,0,0,108750,4350
M,24,"30V, DC Distribution board",Set,0,0,0,65250,2610
M,25,SafetyEquipment,,0,0,0,0,0
M,a,(1) Dry Chemical Type (5 KG) for control room,Nos.,1,0,1,9425,377
M,b,(2) CO2 type 4.5 KG capacity for control room,Nos.,1,0,1,8120,324.8
M,c,(3) CO2 type 22.5 KG capacity for control room,Nos.,1,0,1,22620,904.8
M,26,Aluminium Pipe 50 mm dia as per eqiurement,M,0,0,0,6525,261
M,27,Aluminium Connectors,LS/PSS,0,0,0,6525,261
M,28,11 KV Disc insulator with hardware fiiting,set,0,0,0,398.75,15.95
M,,Civil Works,,,0,,,
M,29,Repairng/ Construction of boundary wall,M,0,0,0,3625,145
M,30,Repairing/ Construction of road,M,0,0,0,5075,203
N,N,Upgradation/ Augmentation of Power Transformers and Installation of additional Power Transformers (1X1.6 MVA to 1X3.15 MVA) (released 3.15 power Transformer is used for augmentation from 1.6 MVA to 3.15 MVA),,1,0,1,,
N,1,Galvonised Structure as per requirement,MT,0,0,0,87000,3480
N,2,33KV Pin Insulator with pins,Nos.,0,0,0,416.15,16.646
N,3 (a),33KV Isolator (630 Amp),Nos.,0,0,0,50025,2001
N,(b),Structure for above,Nos.,0,0,0,77430,3097.2
N,4.i),33KV Post Insulator (1 Set=2 nos.),Sets,0,0,0,471.25,18.85
N,ii),Structure for above,Nos.,0,0,0,21750,870
N,5.i),33KV Lightning Arrestor (1 set=3 nos.),Sets,0,0,0,15477.3,619.092
N,6,33/11KV Transformer,,0,0,0,0,0
N,i,5 MVA,Nos.,0,0,0,4494650.55,179786.022
N,ii,10 MVA,Nos.,0,0,0,8172091.25,326883.65
N,7,Plinth for transformer,Nos.,0,0,0,326250,13050
N,8,Strengthning of TF plinth,Nos.,1,0,1,181250,7250
N,9(i),33 KV VCB with Panel,Nos.,1,0,1,510136.1,20405.444
N,(ii),33 KV CT 600/300/150-1-1 Amp,Sets,0,0,0,46400,1856
N,(iii),Structure for CT,Nos.,0,0,0,21750,870
N,10(i),11 KV isolator (630 Amps),Nos.,2,0,2,27405,1096.2
N,(ii),Structure for above,Nos.,2,0,2,56550,2262
N,(iii),11 KV VCB with Panel,Nos.,1,0,1,372215,14888.6
N,(iv),11 KV CT (800/400/200/5-5 Amp),sets,1,0,1,41905,1676.2
N,(v),11 KV LA,sets,1,0,1,652.5,26.1
N,11 (a),11 KV Post Insulator (1 set= 1 no.),Set,0,0,0,398.75,15.95
N,(b),Structure for above,Nos.,0,0,0,21750,870
N,12,3 Core Power Cable(Aluminium Conductor),,0,0,0,0,0
N,a,4CX10 Sq mm,M,10,0,10,96.57,3.8628
N,b,3.5CX95 Sq mm,M,10,0,10,315.665,12.6266
N,c,2.5CX10 Sq mm,M,5,0,5,63.8,2.552
N,13,30 Volt battery and battery charger with cabinet,Nos.,1,0,1,113100,4524
N,14,Control Cable,,0,0,0,0,0
N,i),2x2.5 mm sq.,M,40,0,40,77.865,3.1146
N,ii),5x2.5 mm sq.,M,30,0,30,144.275,5.771
N,iii),10x2.5 mm sq.,M,15,0,15,235.1175,9.4047
N,15,Earthing of substation ( complete),,0,0,0,0,0
N,(a),Outdoor equipment (earth mat)/Indoor equipment,Nos.,0,0,0,50750,2030
N,16,Barbed wire fencing with gate etc (switchyard),KG,0,0,0,87,3.48
N,17,Lightening of SS including Control room,LS.,0,0,0,217500,8700
N,a,Flood light fittings with control gears and 150W High Pressure Sodium Vapour lamp including mounting arrangement as per TS,Set,0,0,0,5510,220.4
N,b,2x 40 W flouroscent tube fitting with vitreous enamelled reflector complete in all respects as per applicable TS,Set,0,0,0,2320,92.8
N,c,Ceiling Fans 1400 mm sweep with regulator,No.,0,0,0,2320,92.8
N,d,Swaged type 9mtr Steel Tubular Pole (410 SP-31) for lighting in Sub-station as per IS-2713 (1980),No.,0,0,0,10875,435
N,e,"18"" exhaust fan with lowvers shutter",No.,0,0,0,3625,145
N,18,63KVA 11/0.4KV T/F,Nos.,0,0,0,210965.95,8438.638
N,19,11 KV fuse set with fixing clamps,Nos.,0,0,0,6525,261
N,20,Cost of accessories for mounting of 63 KVA T/F,Job,0,0,0,21025,841
N,21,Painting of Structures,Job,1,0,1,65250,2610
N,22,Repair of existing Control Room in all respect including painting inner and outer wall,1 Job,0,0,0,181250,7250
N,23,"415V, AC Distribution board",Set,0,0,0,108750,4350
N,24,"30V, DC Distribution board",Set,0,0,0,65250,2610
N,25,SafetyEquipment,,0,0,0,0,0
N,a,(1) Dry Chemical Type (5 KG) for control room,Nos.,1,0,1,9425,377
N,b,(2) CO2 type 4.5 KG capacity for control room,Nos.,1,0,1,8120,324.8
N,c,(3) CO2 type 22.5 KG capacity for control room,Nos.,1,0,1,22620,904.8
N,26,Aluminium Pipe 50 mm dia as per eqiurement,M,0,0,0,6525,261
N,27,Aluminium Connectors,LS/PSS,0,0,0,6525,261
N,28,11 KV Disc insulator with hardware fiiting,set,0,0,0,398.75,15.95
N,,Civil Works,,,0,,,
N,29,Repairng/ Construction of boundary wall,M,0,0,0,3625,145
N,30,Repairing/ Construction of road,M,0,0,0,5075,203
O,O,Upgradation/ Augmentation of Power Transformers and Installation of additional Power Transformers (1X5 MVA to 1X 10 MVA),,1,0,1,,
O,1,Galvonised Structure as per requirement,MT,3,0,3,87000,3480
O,2,33KV Pin Insulator with pins,Nos.,0,0,0,416.15,16.646
O,3 (a),33KV Isolator (630 Amp),Nos.,0,0,0,50025,2001
O,(b),Structure for above,Nos.,0,0,0,77430,3097.2
O,4.i),33KV Post Insulator (1 Set=2 nos.),Sets,0,0,0,471.25,18.85
O,ii),Structure for above,Nos.,0,0,0,21750,870
O,5.i),33KV Lightning Arrestor (1 set=3 nos.),Sets,0,0,0,15477.3,619.092
O,6,33/11KV Transformer,,0,0,0,0,0
O,i,5 MVA,Nos.,0,0,0,4494650.55,179786.022
O,ii,10 MVA,Nos.,1,0,1,8172091.25,326883.65
O,7,Plinth for transformer,Nos.,0,0,0,326250,13050
O,8,Strengthning of TF plinth,Nos.,1,0,1,181250,7250
O,9(i),33 KV VCB with Panel,Nos.,1,0,1,510136.1,20405.444
O,(ii),33 KV CT 600/300/150-1-1 Amp,Sets,0,0,0,46400,1856
O,(iii),Structure for CT,Nos.,0,0,0,21750,870
O,10(i),11 KV isolator (630 Amps),Nos.,10,0,10,27405,1096.2
O,(ii),Structure for above,Nos.,10,0,10,56550,2262
O,(iii),11 KV VCB with Panel,Nos.,5,0,5,372215,14888.6
O,(iv),11 KV CT (800/400/200/5-5 Amp),sets,5,0,5,41905,1676.2
O,(v),11 KV LA,sets,5,0,5,652.5,26.1
O,11 (a),11 KV Post Insulator (1 set= 1 no.),Set,30,0,30,398.75,15.95
O,(b),Structure for above,Nos.,30,0,30,21750,870
O,12,3 Core Power Cable(Aluminium Conductor),,0,0,0,0,0
O,a,4CX10 Sq mm,M,20,0,20,96.57,3.8628
O,b,3.5CX95 Sq mm,M,20,0,20,315.665,12.6266
O,c,2.5CX10 Sq mm,M,10,0,10,63.8,2.552
O,13,30 Volt battery and battery charger with cabinet,Nos.,1,0,1,113100,4524
O,14,Control Cable,,0,0,0,0,0
O,i),2x2.5 mm sq.,M,80,0,80,77.865,3.1146
O,ii),5x2.5 mm sq.,M,60,0,60,144.275,5.771
O,iii),10x2.5 mm sq.,M,30,0,30,235.1175,9.4047
O,15,Earthing of substation ( complete),,0,0,0,0,0
O,(a),Outdoor equipment (earth mat)/Indoor equipment,Nos.,0,0,0,50750,2030
O,16,Barbed wire fencing with gate etc (switchyard),KG,0,0,0,87,3.48
O,17,Lightening of SS including Control room,LS.,0,0,0,217500,8700
O,a,Flood light fittings with control gears and 150W High Pressure Sodium Vapour lamp including mounting arrangement as per TS,Set,0,0,0,5510,220.4
O,b,2x 40 W flouroscent tube fitting with vitreous enamelled reflector complete in all respects as per applicable TS,Set,0,0,0,2320,92.8
O,c,Ceiling Fans 1400 mm sweep with regulator,No.,0,0,0,2320,92.8
O,d,Swaged type 9mtr Steel Tubular Pole (410 SP-31) for lighting in Sub-station as per IS-2713 (1980),No.,0,0,0,10875,435
O,e,"18"" exhaust fan with lowvers shutter",No.,0,0,0,3625,145
O,18,63KVA 11/0.4KV T/F,Nos.,0,0,0,210965.95,8438.638
O,19,11 KV fuse set with fixing clamps,Nos.,0,0,0,6525,261
O,20,Cost of accessories for mounting of 63 KVA T/F,Job,0,0,0,21025,841
O,21,Painting of Structures,Job,1,0,1,65250,2610
O,22,Repair of existing Control Room in all respect including painting inner and outer wall,1 Job,0,0,0,181250,7250
O,23,"415V, AC Distribution board",Set,0,0,0,108750,4350
O,24,"30V, DC Distribution board",Set,0,0,0,65250,2610
O,25,SafetyEquipment,,0,0,0,0,0
O,a,(1) Dry Chemical Type (5 KG) for control room,Nos.,1,0,1,9425,377
O,b,(2) CO2 type 4.5 KG capacity for control room,Nos.,1,0,1,8120,324.8
O,c,(3) CO2 type 22.5 KG capacity for control room,Nos.,1,0,1,22620,904.8
O,26,Aluminium Pipe 50 mm dia as per eqiurement,M,0,0,0,6525,261
O,27,Aluminium Connectors,LS/PSS,0.5,0,0.5,6525,261
O,28,11 KV Disc insulator with hardware fiiting,set,12,0,12,398.75,15.95
O,,Civil Works,,,0,,,
O,29,Repairng/ Construction of boundary wall,M,0,0,0,3625,145
O,30,Repairing/ Construction of road,M,0,0,0,5075,203
P,P,Upgradation/ Augmentation of Power Transformers and Installation of additional Power Transformers (1X5 MVA to (1X5 +1X10 MVA)),,1,0,1,,0
P,1,Galvonised Structure as per requirement,MT,5,0,5,87000,3480
P,2,33KV Pin Insulator with pins,Nos.,0,0,0,416.15,16.646
P,3 (a),33KV Isolator (630 Amp),Nos.,2,0,2,50025,2001
P,(b),Structure for above,Nos.,2,0,2,77430,3097.2
P,4.i),33KV Post Insulator (1 Set=2 nos.),Sets,6,0,6,471.25,18.85
P,ii),Structure for above,Nos.,6,0,6,21750,870
P,5.i),33KV Lightning Arrestor (1 set=3 nos.),Sets,1,0,1,15477.3,619.092
P,6,33/11KV Transformer,,0,0,0,0,0
P,i,5 MVA,Nos.,0,0,0,4494650.55,179786.022
P,ii,10 MVA,Nos.,1,0,1,8172091.25,326883.65
P,7,Plinth for transformer,Nos.,1,0,1,326250,13050
P,8,Strengthning of TF plinth,Nos.,0,0,0,181250,7250
P,9(i),33 KV VCB with Panel,Nos.,1,0,1,510136.1,20405.444
P,(ii),33 KV CT 600/300/150-1-1 Amp,Sets,1,0,1,46400,1856
P,(iii),Structure for CT,Nos.,1,0,1,21750,870
P,10(i),11 KV isolator (630 Amps),Nos.,10,0,10,27405,1096.2
P,(ii),Structure for above,Nos.,10,0,10,56550,2262
P,(iii),11 KV VCB with Panel,Nos.,5,0,5,372215,14888.6
P,(iv),11 KV CT (800/400/200/5-5 Amp),sets,5,0,5,41905,1676.2
P,(v),11 KV LA,sets,5,0,5,652.5,26.1
P,11 (a),11 KV Post Insulator (1 set= 1 no.),Set,30,0,30,398.75,15.95
P,(b),Structure for above,Nos.,30,0,30,21750,870
P,12,3 Core Power Cable(Aluminium Conductor),,0,0,0,0,0
P,a,4CX10 Sq mm,M,20,0,20,96.57,3.8628
P,b,3.5CX95 Sq mm,M,20,0,20,315.665,12.6266
P,c,2.5CX10 Sq mm,M,10,0,10,63.8,2.552
P,13,30 Volt battery and battery charger with cabinet,Nos.,1,0,1,113100,4524
P,14,Control Cable,,0,0,0,0,0
P,i),2x2.5 mm sq.,M,80,0,80,77.865,3.1146
P,ii),5x2.5 mm sq.,M,60,0,60,144.275,5.771
P,iii),10x2.5 mm sq.,M,30,0,30,235.1175,9.4047
P,15,Earthing of substation ( complete),,0,0,0,0,0
P,(a),Outdoor equipment (earth mat)/Indoor equipment,Nos.,0.5,0,0.5,50750,2030
P,16,Barbed wire fencing with gate etc (switchyard),KG,0,0,0,87,3.48
P,17,Lightening of SS including Control room,LS.,0,0,0,217500,8700
P,a,Flood light fittings with control gears and 150W High Pressure Sodium Vapour lamp including mounting arrangement as per TS,Set,0,0,0,5510,220.4
P,b,2x 40 W flouroscent tube fitting with vitreous enamelled reflector complete in all respects as per applicable TS,Set,0,0,0,2320,92.8
P,c,Ceiling Fans 1400 mm sweep with regulator,No.,0,0,0,2320,92.8
P,d,Swaged type 9mtr Steel Tubular Pole (410 SP-31) for lighting in Sub-station as per IS-2713 (1980),No.,0,0,0,10875,435
P,e,"18"" exhaust fan with lowvers shutter",No.,0,0,0,3625,145
P,18,63KVA 11/0.4KV T/F,Nos.,0,0,0,210965.95,8438.638
P,19,11 KV fuse set with fixing clamps,Nos.,0,0,0,6525,261
P,20,Cost of accessories for mounting of 63 KVA T/F,Job,0,0,0,21025,841
P,21,Painting of Structures,Job,1,0,1,65250,2610
P,22,Repair of existing Control Room in all respect including painting inner and outer wall,1 Job,0.25,0,0.25,181250,7250
P,23,"415V, AC Distribution board",Set,0,0,0,108750,4350
P,24,"30V, DC Distribution board",Set,0,0,0,65250,2610
