Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,5,3R10,Belting Angle,65x65x6,1790,2,5.8,20.764,2,20.764
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,6,3R11,Bracing Angle,50x50x6,2790,2,4.5,25.11,2,25.110
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,7,3R12,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,8,3R13,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,9,3R14,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,1,3R04,Dummy Clamp/Stay set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,2,3R05,Dummy Clamp/Stay set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,3,3R07,Dummy Clamp/Stay set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,4,3R09,Top Channel,10x50x6,3150,2,7.9,49.77,2,49.770
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,5,3R10,Belting Angle,65x65x6,1790,2,5.8,20.764,2,20.764
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,6,3R11,Bracing Angle,50x50x6,2790,2,4.5,25.11,2,25.110
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,7,3R12,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,8,3R13,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,9,3R14,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
33kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-005 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
33kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-006 Rev No 00,1,1,3R15,Guarding Cross Arm,75x40,2760,2,5.7,31.464,2,31.464
33kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-006 Rev No 00,1,,3R15-i,Weld Piece,50x6,60,4,2.36,0.566,4,0.566
33kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-006 Rev No 00,1,2,3R16,Clamp for Guarding Cross Arm,50x10,496,2,3.93,3.899,2,3.899
33kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-006 Rev No 00,1,3,3R17,Eye Hook for Guarding,M16 Rod,305,8,1.57,3.831,8,3.831
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,1,1R01,Pole Top Bracket,50x8,497,1,3.14,1.561,1,1.561
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,2,1R02,V-X Arm,75x40x6,1407,1,5.7,8.02,1,8.020
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,,1R02-i,Welding Piece-1 for V-X Arm,50x6,50,4,2.36,0.472,4,0.472
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,,1R02-ii,Welding Piece-2 for V-X Arm,50x6,60,2,2.36,0.283,2,0.283
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,3,1R03,Back clamp for V-X Arm,50x10,496,1,3.93,1.949,1,1.949
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,4,1R04,Dummy Clamp/Stay Set Clamp-A,50x10,414,1,3.93,1.627,1,1.627
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,5,1R05,Dummy Clamp/Stay Set Clamp-B,50x10,361,1,3.93,1.419,1,1.419
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,6,1R06,Top Bracket Fixing clamp,50x10,383,2,3.93,3.01,2,3.010
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,9,EP,Earthing Piece,50x50x6,50,1,4.5,0.225,1,0.225
11kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-001 Rev No 00,1,10,CIP,CI Packing piece,,,1,,,1,0.000
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,1,1R01,Pole Top Bracket,50x8,497,1,3.14,1.561,1,1.561
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,2,1R02,V-X Arm,75x40x6,1407,1,5.7,8.02,1,8.020
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,,1R02-i,Welding Piece-1 for V-X Arm,50x6,50,4,2.36,0.472,4,0.472
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,3,1R03,Back clamp for V-X Arm,50x10,496,1,3.93,1.949,1,1.949
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,4,1R06,Top Bracket Fixing clamp,50x10,383,4,3.93,6.021,4,6.021
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,5,EP,Earthing Piece,50x50x6,50,1,4.5,0.225,1,0.225
11kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-002 Rev No 00,1,6,CIP,CI Packing piece,,,1,,,1,0.000
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,1,1R04,Dummy clamp/Stay Set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,2,1R05,Dummy clamp/Stay Set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,3,1R06,Dummy clamp/Stay Set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,4,1R07,Top Channel,100x50x6,2200,2,7.9,34.76,2,34.760
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,3,1R08,Belting Angle,50x50x6,1765,2,4.5,15.885,2,15.885
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,4,1R09,Bracing Angle,50x50x6,2331,2,4.5,20.979,2,20.979
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,5,1R10,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,6,1R11,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,9,1R12,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
11kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-003 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,1,1R04,Dummy clamp/Stay Set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,2,1R05,Dummy clamp/Stay Set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,3,1R06,Dummy clamp/Stay Set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,4,1R07,Top Channel,100x50x6,2200,2,7.9,34.76,2,34.760
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,3,1R08,Belting Angle,50x50x6,1765,2,4.5,15.885,2,15.885
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,4,1R09,Bracing Angle,50x50x6,2331,2,4.5,20.979,2,20.979
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,5,1R10,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,6,1R11,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,9,1R12,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
11kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-004 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,1,1R04,Dummy clamp/Stay Set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,2,1R05,Dummy clamp/Stay Set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,3,1R06,Dummy clamp/Stay Set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,4,1R07,Top Channel,100x50x6,2200,2,7.9,34.76,2,34.760
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,3,1R08,Belting Angle,50x50x6,1765,2,4.5,15.885,2,15.885
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,4,1R09,Bracing Angle,50x50x6,2331,2,4.5,20.979,2,20.979
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,5,1R10,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,6,1R11,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,9,1R12,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
11kV Line formation on DP on 13M(52Kg) Rail Pole (Anguler Location 10º-60º),11kV,Rail Pole,DP,SSEL-SBPDCL-11kV-005 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-006 Rev No 00,1,1,1R13,Guarding Cross Arm,75x40,2210,2,5.7,25.194,2,25.194
11kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-006 Rev No 00,1,,1R13-i,Weld Piece,50x6,60,4,2.36,0.566,4,0.566
11kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-006 Rev No 00,1,2,1R14,Clamp for Guarding Cross Arm,50x10,496,2,3.93,3.899,2,3.899
11kV Line Guarding Arrangment on 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-006 Rev No 00,1,3,1R15,Eye Hook for Guarding,M16 Rod,305,8,1.57,3.831,8,3.831
11kV Line Tapping from Existing 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-007 Rev No 00,1,1,1R16,Tapping Cross Arm,75x40,1300,1,5.7,7.410,1,7.410
11kV Line Tapping from Existing 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-007 Rev No 00,1,2,1R17,Back Clamp for Tapping Cross Arm,50x8,546,1,3.14,1.714,1,1.714
11kV Line Tapping from Existing 13M(52Kg) Rail Pole on SP,11kV,Rail Pole,SP,SSEL-SBPDCL-11kV-007 Rev No 00,1,3,1R06,Stay Set Clamps,50x10,383,2,3.93,3.010,2,3.010
11kV Line formation on SP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-001 Rev No 00,1,1,1901,Pole Top Bracket,50x8,497,1,3.14,1.561,1,1.561
11kV Line formation on SP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-001 Rev No 00,1,2,1902,V-X Arm,75x40x6,1407,1,5.7,8.02,1,8.020
11kV Line formation on SP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-001 Rev No 00,1,,1902-i,Weld Piece for V-X Arm,50x6,50,4,2.36,0.472,4,0.472
11kV Line formation on SP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-001 Rev No 00,1,3,1903,Back clamp for V-X Arm,50x8,542,1,3.14,1.702,1,1.702
11kV Line formation on SP on 9M/400KG PSC Pole (Anguler Location 0º-10º),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-002 Rev No 00,1,1,1901,Pole Top Bracket,50x8,497,1,3.14,1.561,1,1.561
11kV Line formation on SP on 9M/400KG PSC Pole (Anguler Location 0º-10º),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-002 Rev No 00,1,2,1902,V-X Arm,75x40x6,1407,1,5.7,8.02,1,8.020
11kV Line formation on SP on 9M/400KG PSC Pole (Anguler Location 0º-10º),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-002 Rev No 00,1,,1902-i,Weld Piece for V-X Arm,50x6,50,4,2.36,0.472,4,0.472
11kV Line formation on SP on 9M/400KG PSC Pole (Anguler Location 0º-10º),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-002 Rev No 00,1,3,1903,Back clamp for V-X Arm,50x8,542,1,3.14,1.702,1,1.702
11kV Line formation on SP on 9M/400KG PSC Pole (Anguler Location 0º-10º),11kV,9M/400kG,SP,9M133-SBPDCL-11kV-002 Rev No 00,1,4,1904,Stay Set Clamps,50x10,478,2,3.93,3.757,2,3.757
11kV Line formation on DP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,DP,9M133-SBPDCL-11kV-003 Rev No 00,1,1,1905,Top Channel,100x50x6,2200,2,7.9,34.760,2,34.760
11kV Line formation on DP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,DP,9M133-SBPDCL-11kV-003 Rev No 00,1,2,1906,Belting Angle,50x50x6,1737,2,4.5,15.633,2,15.633
11kV Line formation on DP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,DP,9M133-SBPDCL-11kV-003 Rev No 00,1,3,1907,Bracing Angle,50x50x6,2345,2,4.5,21.105,2,21.105
11kV Line formation on DP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,DP,9M133-SBPDCL-11kV-003 Rev No 00,1,4,1908,Belting Angle Clamp-A,50x8,765,2,3.14,4.804,2,4.804
11kV Line formation on DP on 9M/400KG PSC Pole (In Line Location),11kV,9M/400kG,DP,9M133-SBPDCL-11kV-003 Rev No 00,1,5,1909,Belting Angle Clamp-B,50x8,841,2,3.14,5.281,2,5.281
